ID,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,livingSpace,lift,typeOfFlat,floor,garden,regio2,condition,lastRefurbish,energyEfficiencyClass
92,FALSE,TRUE,693,1975,NA,FALSE,82,TRUE,apartment,3,TRUE,Hagen,average,Over5Years,NO_INFORMATION
93,FALSE,TRUE,1007,1963,NA,FALSE,78.46,TRUE,apartment,3,FALSE,Neuss_Rhein_Kreis,good,Last5Years,Aplus/A/B/C
94,FALSE,TRUE,520,1956,NA,TRUE,50,FALSE,apartment,1,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
95,FALSE,TRUE,NA,1958,NA,FALSE,60,FALSE,apartment,1,FALSE,Wesel_Kreis,good,NO_INFORMATION,NO_INFORMATION
96,FALSE,TRUE,825,1991,1,TRUE,73.18,FALSE,roof_storey,3,FALSE,Düren_Kreis,average,Last5Years,NO_INFORMATION
97,FALSE,FALSE,NA,1962,NA,FALSE,68,TRUE,apartment,1,FALSE,Bochum,average,Last5Years,NO_INFORMATION
98,FALSE,TRUE,416,1956,NA,FALSE,60,FALSE,other,1,FALSE,Gelsenkirchen,average,NO_INFORMATION,D/E/F/G/H
99,FALSE,FALSE,595,1969,NA,FALSE,75,FALSE,apartment,1,TRUE,Recklinghausen_Kreis,average,Last5Years,NO_INFORMATION
100,FALSE,TRUE,1220,1960,NA,TRUE,100,FALSE,other,2,FALSE,Neuss_Rhein_Kreis,good,Last5Years,NO_INFORMATION
101,FALSE,TRUE,640,1963,NA,TRUE,52,TRUE,apartment,2,FALSE,Aachen,average,NO_INFORMATION,NO_INFORMATION
102,FALSE,FALSE,460,1952,NA,FALSE,59.88,FALSE,apartment,3,FALSE,Gelsenkirchen,good,NO_INFORMATION,D/E/F/G/H
103,FALSE,FALSE,667,1970,1,TRUE,50,FALSE,roof_storey,3,FALSE,Aachen,good,NO_INFORMATION,NO_INFORMATION
104,FALSE,TRUE,766,1963,NA,FALSE,70.95,FALSE,apartment,3,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
105,FALSE,TRUE,560,1960,NA,FALSE,62.5,FALSE,apartment,2,FALSE,Essen,average,NO_INFORMATION,NO_INFORMATION
106,FALSE,FALSE,465.63,1935,NA,FALSE,65.2,FALSE,NA,1,FALSE,Ennepe_Ruhr_Kreis,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
107,FALSE,TRUE,820,2007,NA,FALSE,78,FALSE,ground_floor,0,FALSE,Krefeld,good,NO_INFORMATION,Aplus/A/B/C
108,FALSE,TRUE,675,2000,1,TRUE,50,FALSE,maisonette,2,FALSE,Köln,average,Over5Years,NO_INFORMATION
109,FALSE,TRUE,NA,1961,NA,FALSE,85,FALSE,apartment,1,FALSE,Oberbergischer_Kreis,good,Last5Years,D/E/F/G/H
110,FALSE,TRUE,630,1969,NA,FALSE,68,FALSE,roof_storey,2,FALSE,Krefeld,average,NO_INFORMATION,NO_INFORMATION
